86,"Variable containing:
1.00000e-02 *
  1.0214
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
87,"Variable containing:
1.00000e-02 *
  1.0096
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
88,"Variable containing:
1.00000e-02 *
  1.0500
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
89,"Variable containing:
1.00000e-02 *
  1.0051
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
90,"Variable containing:
1.00000e-02 *
  1.0324
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
91,"Variable containing:
1.00000e-02 *
  1.0550
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
92,"Variable containing:
1.00000e-02 *
  1.0157
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
93,"Variable containing:
1.00000e-02 *
  1.0201
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
94,"Variable containing:
1.00000e-02 *
  1.0001
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
95,"Variable containing:
1.00000e-02 *
  1.0065
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
96,"Variable containing:
1.00000e-03 *
  9.8836
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
97,"Variable containing:
1.00000e-03 *
  9.8358
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
98,"Variable containing:
1.00000e-03 *
  9.8085
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
99,"Variable containing:
1.00000e-02 *
  1.0143
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
100,"Variable containing:
1.00000e-03 *
  9.7311
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
101,"Variable containing:
1.00000e-03 *
  9.7473
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
102,"Variable containing:
1.00000e-03 *
  9.4436
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
103,"Variable containing:
1.00000e-03 *
  9.6678
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
104,"Variable containing:
1.00000e-02 *
  1.0104
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
105,"Variable containing:
1.00000e-03 *
  9.8997
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
106,"Variable containing:
1.00000e-03 *
  9.6435
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
107,"Variable containing:
1.00000e-03 *
  9.9738
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
108,"Variable containing:
1.00000e-03 *
  9.7001
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
109,"Variable containing:
1.00000e-03 *
  9.5734
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
110,"Variable containing:
1.00000e-03 *
  9.7055
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
111,"Variable containing:
1.00000e-03 *
  9.9673
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
112,"Variable containing:
1.00000e-03 *
  9.5312
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
113,"Variable containing:
1.00000e-03 *
  9.3901
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
114,"Variable containing:
1.00000e-03 *
  9.6621
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
115,"Variable containing:
1.00000e-03 *
  9.5207
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
116,"Variable containing:
1.00000e-03 *
  9.4421
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
117,"Variable containing:
1.00000e-03 *
  9.6947
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
118,"Variable containing:
1.00000e-03 *
  9.6259
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
119,"Variable containing:
1.00000e-03 *
  9.4477
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
120,"Variable containing:
1.00000e-03 *
  9.3400
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
121,"Variable containing:
1.00000e-03 *
  9.4697
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
122,"Variable containing:
1.00000e-03 *
  9.5575
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
123,"Variable containing:
1.00000e-03 *
  9.2367
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
124,"Variable containing:
1.00000e-03 *
  9.2769
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
125,"Variable containing:
1.00000e-03 *
  9.1851
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
126,"Variable containing:
1.00000e-03 *
  9.0641
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
127,"Variable containing:
1.00000e-03 *
  9.3328
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
128,"Variable containing:
1.00000e-03 *
  8.9576
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
129,"Variable containing:
1.00000e-03 *
  9.2590
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
130,"Variable containing:
1.00000e-03 *
  9.1223
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
131,"Variable containing:
1.00000e-03 *
  9.0723
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
132,"Variable containing:
1.00000e-03 *
  8.9972
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
133,"Variable containing:
1.00000e-03 *
  8.7241
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
134,"Variable containing:
1.00000e-03 *
  9.0387
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
135,"Variable containing:
1.00000e-03 *
  8.9913
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
136,"Variable containing:
1.00000e-03 *
  9.0801
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
137,"Variable containing:
1.00000e-03 *
  8.8476
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
138,"Variable containing:
1.00000e-03 *
  8.9777
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
139,"Variable containing:
1.00000e-03 *
  8.9441
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
140,"Variable containing:
1.00000e-03 *
  8.7779
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
141,"Variable containing:
1.00000e-03 *
  8.7799
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
142,"Variable containing:
1.00000e-03 *
  8.7806
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
143,"Variable containing:
1.00000e-03 *
  9.0403
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
144,"Variable containing:
1.00000e-03 *
  8.6527
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
145,"Variable containing:
1.00000e-03 *
  8.7330
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
146,"Variable containing:
1.00000e-03 *
  8.8279
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
147,"Variable containing:
1.00000e-03 *
  8.7391
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
148,"Variable containing:
1.00000e-03 *
  8.8412
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
149,"Variable containing:
1.00000e-03 *
  8.7573
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
150,"Variable containing:
1.00000e-03 *
  8.7020
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
151,"Variable containing:
1.00000e-03 *
  8.6264
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
152,"Variable containing:
1.00000e-03 *
  8.6475
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
153,"Variable containing:
1.00000e-03 *
  8.7203
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
154,"Variable containing:
1.00000e-03 *
  8.5023
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
155,"Variable containing:
1.00000e-03 *
  8.6490
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
156,"Variable containing:
1.00000e-03 *
  8.6962
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
157,"Variable containing:
1.00000e-03 *
  8.4103
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
158,"Variable containing:
1.00000e-03 *
  8.4687
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
159,"Variable containing:
1.00000e-03 *
  8.4151
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
160,"Variable containing:
1.00000e-03 *
  8.2858
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
161,"Variable containing:
1.00000e-03 *
  8.2554
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
162,"Variable containing:
1.00000e-03 *
  8.4638
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
163,"Variable containing:
1.00000e-03 *
  8.4086
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
164,"Variable containing:
1.00000e-03 *
  8.2575
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
165,"Variable containing:
1.00000e-03 *
  8.1653
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
166,"Variable containing:
1.00000e-03 *
  8.3818
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
167,"Variable containing:
1.00000e-03 *
  8.3030
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
168,"Variable containing:
1.00000e-03 *
  8.1414
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
169,"Variable containing:
1.00000e-03 *
  8.3852
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
170,"Variable containing:
1.00000e-03 *
  8.1410
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
171,"Variable containing:
1.00000e-03 *
  8.0982
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
172,"Variable containing:
1.00000e-03 *
  8.2049
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
173,"Variable containing:
1.00000e-03 *
  8.2096
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
174,"Variable containing:
1.00000e-03 *
  8.2011
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
175,"Variable containing:
1.00000e-03 *
  7.9932
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
176,"Variable containing:
1.00000e-03 *
  7.9513
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
177,"Variable containing:
1.00000e-03 *
  8.0101
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
178,"Variable containing:
1.00000e-03 *
  8.1887
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
179,"Variable containing:
1.00000e-03 *
  8.0196
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
180,"Variable containing:
1.00000e-03 *
  8.1035
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
181,"Variable containing:
1.00000e-03 *
  7.9983
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
182,"Variable containing:
1.00000e-03 *
  8.1777
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
183,"Variable containing:
1.00000e-03 *
  8.0468
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
184,"Variable containing:
1.00000e-03 *
  7.7569
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
185,"Variable containing:
1.00000e-03 *
  7.9622
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
186,"Variable containing:
1.00000e-03 *
  7.9899
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
187,"Variable containing:
1.00000e-03 *
  7.7996
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
188,"Variable containing:
1.00000e-03 *
  8.0319
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
189,"Variable containing:
1.00000e-03 *
  8.0201
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
190,"Variable containing:
1.00000e-03 *
  8.0121
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
191,"Variable containing:
1.00000e-03 *
  7.7815
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
192,"Variable containing:
1.00000e-03 *
  7.7187
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
193,"Variable containing:
1.00000e-03 *
  7.7224
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
194,"Variable containing:
1.00000e-03 *
  7.7152
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
195,"Variable containing:
1.00000e-03 *
  7.6179
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
196,"Variable containing:
1.00000e-03 *
  7.6111
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
197,"Variable containing:
1.00000e-03 *
  7.5742
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
198,"Variable containing:
1.00000e-03 *
  7.6658
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
199,"Variable containing:
1.00000e-03 *
  7.7029
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
200,"Variable containing:
1.00000e-03 *
  7.4726
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
201,"Variable containing:
1.00000e-03 *
  7.6294
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
202,"Variable containing:
1.00000e-03 *
  7.5278
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
203,"Variable containing:
1.00000e-03 *
  7.4998
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
204,"Variable containing:
1.00000e-03 *
  7.5557
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
205,"Variable containing:
1.00000e-03 *
  7.4252
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
206,"Variable containing:
1.00000e-03 *
  7.6017
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
207,"Variable containing:
1.00000e-03 *
  7.4520
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
208,"Variable containing:
1.00000e-03 *
  7.3815
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
209,"Variable containing:
1.00000e-03 *
  7.5339
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
210,"Variable containing:
1.00000e-03 *
  7.3919
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
211,"Variable containing:
1.00000e-03 *
  7.4728
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
212,"Variable containing:
1.00000e-03 *
  7.2817
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
213,"Variable containing:
1.00000e-03 *
  7.2298
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
214,"Variable containing:
1.00000e-03 *
  7.2157
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
215,"Variable containing:
1.00000e-03 *
  7.2709
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
216,"Variable containing:
1.00000e-03 *
  7.2780
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
217,"Variable containing:
1.00000e-03 *
  7.2399
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
218,"Variable containing:
1.00000e-03 *
  7.1151
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
219,"Variable containing:
1.00000e-03 *
  7.1117
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
220,"Variable containing:
1.00000e-03 *
  7.3449
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
221,"Variable containing:
1.00000e-03 *
  7.1480
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
222,"Variable containing:
1.00000e-03 *
  6.9231
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
223,"Variable containing:
1.00000e-03 *
  7.1493
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
224,"Variable containing:
1.00000e-03 *
  7.1968
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
225,"Variable containing:
1.00000e-03 *
  7.0181
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
226,"Variable containing:
1.00000e-03 *
  6.9468
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
227,"Variable containing:
1.00000e-03 *
  6.8540
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
228,"Variable containing:
1.00000e-03 *
  6.8253
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
229,"Variable containing:
1.00000e-03 *
  6.8300
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
230,"Variable containing:
1.00000e-03 *
  7.0102
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
231,"Variable containing:
1.00000e-03 *
  6.9769
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
232,"Variable containing:
1.00000e-03 *
  6.7508
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
233,"Variable containing:
1.00000e-03 *
  7.0832
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
234,"Variable containing:
1.00000e-03 *
  6.7305
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
235,"Variable containing:
1.00000e-03 *
  6.9066
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
236,"Variable containing:
1.00000e-03 *
  6.8979
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
237,"Variable containing:
1.00000e-03 *
  6.9396
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
238,"Variable containing:
1.00000e-03 *
  6.7588
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
239,"Variable containing:
1.00000e-03 *
  6.7289
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
240,"Variable containing:
1.00000e-03 *
  6.8171
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
241,"Variable containing:
1.00000e-03 *
  6.7824
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
242,"Variable containing:
1.00000e-03 *
  6.7040
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
243,"Variable containing:
1.00000e-03 *
  6.6247
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
244,"Variable containing:
1.00000e-03 *
  6.4213
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
245,"Variable containing:
1.00000e-03 *
  6.5064
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
246,"Variable containing:
1.00000e-03 *
  6.4398
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
247,"Variable containing:
1.00000e-03 *
  6.5335
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
248,"Variable containing:
1.00000e-03 *
  6.4152
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
